"","RunNr","mRF_Grid","mRF_LHS"
"1",1,NA,0.0479711730906266
"2",2,NA,0.00897169403450714
"3",3,NA,0.0422590227545759
"4",4,NA,0.0171336689799853
"5",5,NA,0.0281405427530115
"6",6,NA,0.0329231954146602
"7",7,NA,0.022848719669849
"8",8,NA,0.0512156979997997
"9",9,NA,0.025451399897326
"10",10,NA,0.0326456493459703
"11",11,NA,0.0490524871174422
"12",12,NA,0.0247426911375107
"13",13,NA,0.0349318412390378
"14",14,NA,0.0259822670563304
"15",15,NA,0.0138727266386961
"16",16,NA,0.0236277515050801
"17",17,NA,0.020856831392792
"18",18,NA,0.0368247907446595
"19",19,NA,0.0258600913325826
"20",20,NA,0.0156018116547449
"21",21,NA,0.0497442507268563
"22",22,NA,0.0218000567775782
"23",23,NA,0.0671765963426122
"24",24,NA,0.0355655945545292
"25",25,NA,0.038603409875253
"26",26,NA,0.0332349966013116
"27",27,NA,0.0125056082396346
"28",28,NA,0.077488342383915
"29",29,NA,0.0488019228692272
"30",30,NA,0.0895465922909994
"31",31,NA,0.0365953825900103
"32",32,NA,0.0357418235422444
"33",33,NA,0.043543695545214
"34",34,NA,0.0118943614051016
"35",35,NA,0.00986412350872353
"36",36,NA,0.0148079766753558
"37",37,NA,0.0329920937411725
"38",38,NA,0.0927299054209722
"39",39,NA,0.035072354865592
"40",40,NA,0.0692755487406915
"41",41,NA,0.0968533302963556
"42",42,NA,0.0221065663762817
"43",43,NA,0.0688696280039978
"44",44,NA,0.0658499942548273
"45",45,NA,0.0157899051094292
"46",46,NA,0.0173563691751229
"47",47,NA,0.0106623888822582
"48",48,NA,0.0134892502620896
"49",49,NA,0.0292746444364607
"50",50,NA,0.0404348299842935
"51",51,NA,0.02626675233919
"52",52,NA,0.0285579374346056
"53",53,NA,0.0127683739306106
"54",54,NA,0.0286641093641352
"55",55,NA,0.00914965178594531
"56",56,NA,0.0200016207252129
"57",57,NA,0.0160346625922025
"58",58,NA,0.0260964445210772
"59",59,NA,0.0400266289236248
"60",60,NA,0.0622608923477564
"61",61,NA,0.0255392929266321
"62",62,NA,0.0138835068391971
"63",63,NA,0.0556677393808009
"64",64,NA,0.0125944216293638
"65",65,NA,0.0170619811444704
"66",66,NA,0.0263325627978718
"67",67,NA,0.0134865494282406
"68",68,NA,0.0559221231322195
"69",69,NA,0.00770991479381049
"70",70,NA,0.0219649862547966
"71",71,NA,0.0739102178179296
"72",72,NA,0.0297969984270617
"73",73,NA,0.042360429485779
"74",74,NA,0.0563272616148143
"75",75,NA,0.0206787144850714
"76",76,NA,0.0645638129042991
"77",77,NA,0.0147196873132263
"78",78,NA,0.0304769378201192
"79",79,NA,0.0117673278215388
"80",80,NA,0.0315631437690165
"81",81,NA,0.0191734434131813
"82",82,NA,0.036668444672897
"83",83,NA,0.020495644211058
"84",84,NA,0.0276532894215753
"85",85,NA,0.0112303903894783
"86",86,NA,0.0310261173487364
"87",87,NA,0.00866488416275976
"88",88,NA,0.0203807383839525
"89",89,NA,0.0170562305013119
"90",90,NA,0.0209085704388906
"91",91,NA,0.0396345030950031
"92",92,NA,0.00942552708423509
"93",93,NA,0.0535546417999508
"94",94,NA,0.0105116362322164
"95",95,NA,0.0611895914351536
"96",96,NA,0.0146696618207406
"97",97,NA,0.0721594288627925
"98",98,NA,0.00884169691574538
"99",99,NA,0.0152175963492043
"100",100,NA,0.0201934220723246
"101",101,NA,0.0546604194004244
"102",102,NA,0.0289746491301539
"103",103,NA,0.0257176577723284
"104",104,NA,0.0417702997054859
"105",105,NA,0.0396925542073258
"106",106,NA,0.0231198829818766
"107",107,NA,0.016083929659999
"108",108,NA,0.0338228975160886
"109",109,NA,0.0120277839113164
"110",110,NA,0.0198045360897334
"111",111,NA,0.0260848022632442
"112",112,NA,0.081066082949173
"113",113,NA,0.0183356224371927
"114",114,NA,0.0373902925965249
"115",115,NA,0.0201497424155853
"116",116,NA,0.0574618896859484
"117",117,NA,0.0132821470896889
"118",118,NA,0.0302609265499367
"119",119,NA,0.0180486051712639
"120",120,NA,0.0803731116191094
"121",121,NA,0.0269754226050203
"122",122,NA,0.0249266856365508
"123",123,NA,0.032913473679264
"124",124,NA,0.0452411780965995
