The following table was created as response to the SQL query
SELECT m_methodname "general method", sbs_sbsname "SBS name", ref_refname "reference", bslv1_name "BBS above ground", bslv2_name "BBS below ground", bbs_valid "valid", bslv3_name "budb seas. at soil surface", sbs_sbsnumber "SBS number", bslv6_name "budb. seas at layer -10-0cm" FROM (SELECT sbs_bbs.bbs_valid, m.m_methodname, sbs_bbs.sbs_sbsnumber, sbs_bbs.sbs_sbsname, sbs_bbs.ref_refname, sbs_bbs.bslv1_name, sbs_bbs.bslv2_name, sbs_bbs.bslv3_name, sbs_bbs.bslv6_name, sbs_bbs.bbs_sbsnumber FROM (SELECT r_bbs.bbs_valid, r_bbs.bbs_methodid, sbs.sbs_sbsnumber, sbs.sbs_sbsname, r_bbs.ref_refname, r_bbs.bslv1_name, r_bbs.bslv2_name, r_bbs.bslv3_name, r_bbs.bslv6_name, r_bbs.bbs_sbsnumber FROM (SELECT speciesno AS sbs_sbsnumber, fullname AS sbs_sbsname FROM (SELECT fullname, speciesno, familyname, isinledalist from (select fullname, speciesno, family as familyid, isinledalist from taxon where specieslist = 60028) natural join taxonomicfamily)) sbs JOIN (SELECT bbs_bslv1.bbs_sbsnumber, bbs_bslv1.bbs_valid, bbs_bslv1.bbs_methodid, r.ref_refname, bbs_bslv1.bslv1_name, bbs_bslv1.bslv2_name, bbs_bslv1.bslv3_name, bbs_bslv1.bslv6_name FROM (SELECT referenceid AS ref_referenceid, refname AS ref_refname FROM (select referenceid, refname, reftypeid from reference)) r LEFT JOIN (SELECT bbs_bslv2.bbs_sbsnumber, bbs_bslv2.bbs_valid, bbs_bslv2.bbs_methodid, bbs_bslv2.bbs_referenceid, bslv1.bslv1_name, bbs_bslv2.bslv2_name, bbs_bslv2.bslv3_name, bbs_bslv2.bslv6_name FROM (SELECT bbs_bslv3.bbs_sbsnumber, bbs_bslv3.bbs_valid, bbs_bslv3.bbs_methodid, bbs_bslv3.bbs_referenceid, bbs_bslv3.bbs_abovegroundid, bslv2.bslv2_name, bbs_bslv3.bslv3_name, bbs_bslv3.bslv6_name FROM (SELECT bbs_bslv6.bbs_sbsnumber, bbs_bslv6.bbs_valid, bbs_bslv6.bbs_methodid, bbs_bslv6.bbs_referenceid, bbs_bslv6.bbs_abovegroundid, bbs_bslv6.bbs_belowgroundid, bslv3.bslv3_name, bbs_bslv6.bslv6_name FROM (SELECT bbs.bbs_sbsnumber, bbs.bbs_valid, bbs.bbs_methodid, bbs.bbs_referenceid, bbs.bbs_abovegroundid, bbs.bbs_belowgroundid, bbs.bbs_soilsurfaceid, bslv6.bslv6_name FROM (SELECT sbsnumber AS bbs_sbsnumber, valid AS bbs_valid, methodid AS bbs_methodid, referenceid AS bbs_referenceid, above_ground_typeid AS bbs_abovegroundid, below_ground_typeid AS bbs_belowgroundid, soilsurface_typeid AS bbs_soilsurfaceid, below_upper_typeid AS bbs_belowupperid FROM (select sbsnumber, taxonid, georefid, habitattypeid, referenceid, origreferenceid, batchid, methodid, collectiondate, p_comment, above_ground_typeid, below_ground_typeid, above_upper_typeid, above_lower_typeid, soilsurface_typeid, below_upper_typeid, below_lower_typeid, created_when, updated_when, valid, validsince, validuntil, ledaid, budbankseasonalityid
from budbankseasonality natural join taxontosbsassignment WHERE valid IN (-2, 1, -1, 0, 2, -8, -4, -3, 2, -8))) bbs FULL JOIN (SELECT budbankseasonalitytypeid AS bslv6_id, budbankseasonalitytypename AS bslv6_name FROM (select budbankseasonalitytypeid, budbankseasonalitytypename from budbankseasonalitytype_lv)) bslv6 ON bbs.bbs_belowupperid = bslv6.bslv6_id) bbs_bslv6 FULL JOIN (SELECT budbankseasonalitytypeid AS bslv3_id, budbankseasonalitytypename AS bslv3_name FROM (select budbankseasonalitytypeid, budbankseasonalitytypename from budbankseasonalitytype_lv)) bslv3 ON bbs_bslv6.bbs_soilsurfaceid = bslv3.bslv3_id) bbs_bslv3 FULL JOIN (SELECT budbankseasonalitytypeid AS bslv2_id, budbankseasonalitytypename AS bslv2_name FROM (select budbankseasonalitytypeid, budbankseasonalitytypename from budbankseasonalitytype_lv)) bslv2 ON bbs_bslv3.bbs_belowgroundid = bslv2.bslv2_id) bbs_bslv2 FULL JOIN (SELECT budbankseasonalitytypeid AS bslv1_id, budbankseasonalitytypename AS bslv1_name FROM (select budbankseasonalitytypeid, budbankseasonalitytypename from budbankseasonalitytype_lv)) bslv1 ON bbs_bslv2.bbs_abovegroundid = bslv1.bslv1_id) bbs_bslv1 ON r.ref_referenceid = bbs_bslv1.bbs_referenceid) r_bbs ON sbs.sbs_sbsnumber = r_bbs.bbs_sbsnumber) sbs_bbs LEFT JOIN (SELECT methodid AS m_methodid, methodname AS m_methodname FROM (select * from method_lv)) m ON sbs_bbs.bbs_methodid = m.m_methodid) ORDER BY sbs_sbsname
on Thu Mar 13 09:19:18 CET 2008 .

general method;SBS name;reference;BBS above ground;BBS below ground;valid;budb seas. at soil surface;SBS number;budb. seas at layer -10-0cm
observation (like obvious taxonomical traits);Angelica sylvestris;CLO-PLA records from September 2005;seasonal;seasonal;0;seasonal;1519;seasonal
observation (like obvious taxonomical traits);Angelica sylvestris;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;1519;perennial
derivation from photos or drawings;Angelica sylvestris;CLO-PLA records from September 2005;seasonal;seasonal;0;seasonal;1519;seasonal
derivation from photos or drawings;Angelica sylvestris;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;1519;perennial
derivation from photos or drawings;Antennaria carpatica;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;4017;perennial
derivation from photos or drawings;Antennaria dioica;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;2770;perennial
derivation from photos or drawings;Antennaria dioica;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;2770;perennial
derivation from photos or drawings;Antennaria dioica;CLO-PLA records from September 2005;seasonal;perennial;0;seasonal;2770;perennial
observation (like obvious taxonomical traits);Antennaria dioica;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;2770;perennial
derivation from photos or drawings;Antennaria dioica;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;2770;perennial
derivation from photos or drawings;Anthemis arvensis;CLO-PLA records from September 2005;seasonal;;0;seasonal;3024;
derivation from photos or drawings;Anthemis austriaca;CLO-PLA records from September 2005;seasonal;;0;seasonal;4304;
derivation from photos or drawings;Anthemis austriaca;CLO-PLA records from September 2005;seasonal;;0;seasonal;4304;
derivation from photos or drawings;Anthemis austriaca;CLO-PLA records from September 2005;seasonal;;0;seasonal;4304;
derivation from photos or drawings;Anthemis cotula;CLO-PLA records from September 2005;seasonal;;0;seasonal;2778;
derivation from photos or drawings;Anthemis ruthenica;CLO-PLA records from September 2005;seasonal;;0;seasonal;3848;
derivation from photos or drawings;Anthemis tinctoria;CLO-PLA records from September 2005;seasonal;perennial;0;seasonal;2787;perennial
derivation from photos or drawings;Anthericum liliago;CLO-PLA records from September 2005;;perennial;0;;38767;perennial
observation (like obvious taxonomical traits);Anthericum liliago;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;38767;perennial
observation (like obvious taxonomical traits);Anthericum liliago;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;38767;perennial
derivation from photos or drawings;Anthericum liliago;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;38767;perennial
derivation from photos or drawings;Anthericum ramosum;CLO-PLA records from September 2005;;perennial;0;;38246;perennial
observation (like obvious taxonomical traits);Anthericum ramosum;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;38246;perennial
observation (like obvious taxonomical traits);Anthericum ramosum;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;38246;perennial
derivation from photos or drawings;Anthericum ramosum;CLO-PLA records from September 2005;perennial;perennial;0;perennial;38246;perennial
derivation from photos or drawings;Anthericum ramosum;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;38246;perennial
derivation from photos or drawings;Anthericum ramosum;CLO-PLA records from September 2005;;perennial;0;;38246;perennial
observation (like obvious taxonomical traits);Anthoxanthum alpinum;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;41906;perennial
observation (like obvious taxonomical traits);Anthoxanthum alpinum;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;41906;perennial
derivation from photos or drawings;Anthoxanthum aristatum;CLO-PLA records from September 2005;seasonal;;0;seasonal;40551;
derivation from photos or drawings;Anthoxanthum odoratum;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;41907;perennial
derivation from photos or drawings;Anthoxanthum odoratum;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;41907;perennial
derivation from photos or drawings;Anthoxanthum odoratum;CLO-PLA records from September 2005;seasonal;seasonal;0;seasonal;41907;seasonal
observation (like obvious taxonomical traits);Anthoxanthum odoratum;CLO-PLA records from September 2005;seasonal;perennial;0;seasonal;41907;perennial
observation (like obvious taxonomical traits);Anthoxanthum odoratum;CLO-PLA records from September 2005;seasonal;perennial;0;seasonal;41907;perennial
observation (like obvious taxonomical traits);Anthoxanthum odoratum;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;41907;perennial
derivation from photos or drawings;Anthriscus caucalis;CLO-PLA records from September 2005;seasonal;;0;seasonal;1975;
derivation from photos or drawings;Anthriscus cerefolium;CLO-PLA records from September 2005;seasonal;;0;seasonal;1526;
derivation from photos or drawings;Anthriscus sylvestris;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;1916;perennial
unknown;Anthriscus sylvestris;CLO-PLA records from September 2005;seasonal;seasonal;0;seasonal;1916;seasonal
observation (like obvious taxonomical traits);Anthriscus sylvestris;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;1916;perennial
derivation from photos or drawings;Anthriscus sylvestris;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;1916;perennial
observation (like obvious taxonomical traits);Anthriscus sylvestris;CLO-PLA records from September 2005;seasonal;seasonal;0;seasonal;1916;seasonal
observation (like obvious taxonomical traits);Anthriscus sylvestris;CLO-PLA records from September 2005;seasonal;seasonal;0;seasonal;1916;seasonal
derivation from photos or drawings;Anthriscus sylvestris;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;1916;perennial
observation (like obvious taxonomical traits);Anthyllis montana;CLO-PLA records from September 2005;perennial;perennial;0;perennial;21589;perennial
derivation from photos or drawings;Anthyllis vulneraria;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;21660;perennial
observation (like obvious taxonomical traits);Anthyllis vulneraria;CLO-PLA records from September 2005;seasonal;perennial;0;seasonal;21660;perennial
derivation from photos or drawings;Anthyllis vulneraria;CLO-PLA records from September 2005;seasonal;;0;seasonal;21660;
derivation from photos or drawings;Anthyllis vulneraria;CLO-PLA records from September 2005;seasonal;perennial;0;seasonal;21660;perennial
observation (like obvious taxonomical traits);Antirrhinum majus;CLO-PLA records from September 2005;seasonal & potential;;0;potential;33261;
observation (like obvious taxonomical traits);Antirrhinum majus;CLO-PLA records from September 2005;seasonal;perennial & potential;0;seasonal;33261;perennial & potential
derivation from photos or drawings;Apera interrupta;CLO-PLA records from September 2005;seasonal;;0;seasonal;41910;
derivation from photos or drawings;Apera spica-venti;CLO-PLA records from September 2005;seasonal;;0;seasonal;40884;
derivation from photos or drawings;Apera spica-venti;CLO-PLA records from September 2005;seasonal;;0;seasonal;40884;
derivation from photos or drawings;Aphanes arvensis;CLO-PLA records from September 2005;perennial & seasonal;;0;seasonal;29391;
derivation from photos or drawings;Aphanes microcarpa;CLO-PLA records from September 2005;perennial & seasonal;;0;seasonal;29977;
derivation from photos or drawings;Apium graveolens;CLO-PLA records from September 2005;seasonal;seasonal;0;seasonal;1456;seasonal
derivation from photos or drawings;Apium inundatum;CLO-PLA records from September 2005;seasonal;;0;seasonal;1920;
derivation from photos or drawings;Apium nodiflorum;CLO-PLA records from September 2005;seasonal;;0;seasonal;1922;
derivation from photos or drawings;Apium repens;CLO-PLA records from September 2005;seasonal;;0;seasonal;1923;
derivation from photos or drawings;Aposeris foetida;CLO-PLA records from September 2005;seasonal;seasonal;0;seasonal;3210;seasonal
derivation from photos or drawings;Aposeris foetida;CLO-PLA records from September 2005;perennial;perennial;0;perennial;3210;perennial
observation (like obvious taxonomical traits);Aquilegia atrata;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;27254;perennial
observation (like obvious taxonomical traits);Aquilegia einseleana;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;27264;perennial
observation (like obvious taxonomical traits);Aquilegia vulgaris;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;27156;perennial
field experiment;Aquilegia vulgaris;CLO-PLA records from September 2005;;potential;0;;27156;potential
derivation from photos or drawings;Arabidopsis suecica;CLO-PLA records from September 2005;seasonal;seasonal;0;seasonal;13762;seasonal
derivation from photos or drawings;Arabidopsis suecica;CLO-PLA records from September 2005;seasonal;;0;seasonal;13762;
derivation from photos or drawings;Arabidopsis thaliana;CLO-PLA records from September 2005;seasonal;;0;seasonal;12652;
derivation from photos or drawings;Arabidopsis thaliana;CLO-PLA records from September 2005;seasonal;;0;seasonal;12652;
derivation from photos or drawings;Arabidopsis thaliana;CLO-PLA records from September 2005;seasonal;;0;seasonal;12652;
derivation from photos or drawings;Arabis allionii;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;12653;perennial
derivation from photos or drawings;Arabis alpina;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;13346;perennial
observation (like obvious taxonomical traits);Arabis alpina;CLO-PLA records from September 2005;seasonal;perennial;0;;13346;perennial
derivation from photos or drawings;Arabis alpina;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;13346;perennial
derivation from photos or drawings;Arabis alpina;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;13346;perennial
derivation from photos or drawings;Arabis brassica;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;45770;perennial
derivation from photos or drawings;Arabis caerulea;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;12655;perennial
derivation from photos or drawings;Arabis caerulea;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;12655;perennial
observation (like obvious taxonomical traits);Arabis caerulea;CLO-PLA records from September 2005;perennial & seasonal;perennial & potential;0;perennial;12655;perennial & potential
observation (like obvious taxonomical traits);Arabis caerulea;CLO-PLA records from September 2005;;potential;0;;12655;potential
derivation from photos or drawings;Arabis caerulea;CLO-PLA records from September 2005;perennial;perennial;0;perennial;12655;perennial
derivation from photos or drawings;Arabis ciliata;CLO-PLA records from September 2005;seasonal;seasonal;0;seasonal;45777;seasonal
derivation from photos or drawings;Arabis glabra;CLO-PLA records from September 2005;seasonal;perennial;0;seasonal;13349;perennial
derivation from photos or drawings;Arabis glabra;CLO-PLA records from September 2005;seasonal;seasonal;0;seasonal;13349;seasonal
derivation from photos or drawings;Arabis glabra;CLO-PLA records from September 2005;seasonal;seasonal;0;seasonal;13349;seasonal
derivation from photos or drawings;Arabis glabra;CLO-PLA records from September 2005;seasonal;seasonal;0;seasonal;13349;seasonal
derivation from photos or drawings;Arabis hirsuta;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;13002;perennial
derivation from photos or drawings;Arabis hirsuta;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;13002;perennial
derivation from photos or drawings;Arabis hirsuta;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;13002;perennial
derivation from photos or drawings;Arabis hirsuta;CLO-PLA records from September 2005;seasonal;seasonal;0;seasonal;13002;seasonal
observation (like obvious taxonomical traits);Arabis hirsuta;CLO-PLA records from September 2005;perennial & seasonal;perennial & potential;0;perennial;13002;perennial & potential
observation (like obvious taxonomical traits);Arabis hirsuta;CLO-PLA records from September 2005;perennial & seasonal;perennial & potential;0;perennial;13002;perennial & potential
derivation from photos or drawings;Arabis nemorensis;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;50027;perennial
derivation from photos or drawings;Arabis nemorensis;CLO-PLA records from September 2005;seasonal;seasonal;0;seasonal;50027;seasonal
derivation from photos or drawings;Arabis pumila;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;14272;perennial
observation (like obvious taxonomical traits);Arabis pumila;CLO-PLA records from September 2005;perennial;perennial;0;perennial;14272;perennial
derivation from photos or drawings;Arabis pumila;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;14272;perennial
derivation from photos or drawings;Arabis pumila;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;14272;perennial
derivation from photos or drawings;Arabis sagittata;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;14273;perennial
observation (like obvious taxonomical traits);Arabis sagittata;CLO-PLA records from September 2005;;potential;0;;14273;potential
derivation from photos or drawings;Arabis sagittata;CLO-PLA records from September 2005;seasonal;seasonal;0;seasonal;14273;seasonal
derivation from photos or drawings;Arabis soyeri;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;14276;perennial
derivation from photos or drawings;Arabis soyeri;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;14276;perennial
derivation from photos or drawings;Arabis stellulata;CLO-PLA records from September 2005;perennial & seasonal;perennial;0;perennial;59471;perennial
derivation from photos or drawings;Arabis turrita;CLO-PLA records from September 2005;seasonal;seasonal & potential;0;seasonal;13010;seasonal & potential
derivation from photos or drawings;Arabis turrita;CLO-PLA records from September 2005;seasonal;;0;seasonal;13010;
observation (like obvious taxonomical traits);Arbutus unedo;CLO-PLA records from September 2005;perennial;perennial;0;;19577;perennial
observation (like obvious taxonomical traits);Arbutus unedo;CLO-PLA records from September 2005;perennial;;0;;19577;
