The following table was created as response to the SQL query
SELECT sbs_sbsnumber "SBS number", m_methodname "general method", sbs_sbsname "SBS name", ld_category "leaf distribution ", ld_valid "valid", ref_refname "reference", or_origrefname "original reference" FROM (SELECT ld_m.ld_category, sbs.sbs_sbsnumber, ld_m.m_methodname, sbs.sbs_sbsname, ld_m.ld_valid, ld_m.ref_refname, ld_m.or_origrefname, ld_m.ld_sbsnumber FROM (SELECT speciesno AS sbs_sbsnumber, fullname AS sbs_sbsname FROM (SELECT fullname, speciesno, familyname, isinledalist from (select fullname, speciesno, family as familyid, isinledalist from taxon where specieslist = 60028) natural join taxonomicfamily)) sbs JOIN (SELECT r_ld.ld_sbsnumber, r_ld.ld_category, m.m_methodname, r_ld.ld_valid, r_ld.ref_refname, r_ld.or_origrefname FROM (SELECT ld_orf.ld_sbsnumber, ld_orf.ld_category, ld_orf.ld_methodid, ld_orf.ld_valid, r.ref_refname, ld_orf.or_origrefname FROM (SELECT referenceid AS ref_referenceid, refname AS ref_refname FROM (select referenceid, refname, reftypeid from reference)) r LEFT JOIN (SELECT ld.ld_sbsnumber, ld.ld_category, ld.ld_methodid, ld.ld_valid, ld.ld_referenceid, orf.or_origrefname FROM (SELECT sbsnumber AS ld_sbsnumber, leafdistributionname AS ld_category, methodid AS ld_methodid, valid AS ld_valid, referenceid AS ld_referenceid, origreferenceid AS ld_origreferenceid FROM (select leafdistributionid, sbsnumber, taxonid, georefid, habitattypeid, referenceid, origreferenceid, batchid, methodid, collectiondate, p_comment, leafdistributionnameid, created_when, updated_when, valid, validsince, validuntil, ledaid, leafdistributionname
from
(select leafdistributionid, sbsnumber, taxonid, georefid, habitattypeid, referenceid, origreferenceid, batchid, methodid, collectiondate, p_comment, leafdistributionnameid, created_when, updated_when, valid, validsince, validuntil, ledaid from leafdistribution natural join taxontosbsassignment)
natural join
leafdistributionname_lv WHERE valid IN (-2, 1))) ld FULL JOIN (SELECT origreferenceid AS or_origrefid, origrefname AS or_origrefname FROM (select referenceid as origreferenceid, refname as origrefname, reftypeid as origreftypeid from reference)) orf ON ld.ld_origreferenceid = orf.or_origrefid) ld_orf ON r.ref_referenceid = ld_orf.ld_referenceid) r_ld LEFT JOIN (SELECT methodid AS m_methodid, methodname AS m_methodname FROM (select * from method_lv)) m ON r_ld.ld_methodid = m.m_methodid) ld_m ON sbs.sbs_sbsnumber = ld_m.ld_sbsnumber)
on Mon Apr 26 11:03:40 CEST 2010 .

SBS number;general method;SBS name;leaf distribution ;valid;reference;original reference
21830;estimation;Lembotropis nigricans;leaves distributed regularly along the stem ;1;BIOLFLOR database;
21868;estimation;Hippocrepis comosa;semi-rosette ;1;BIOLFLOR database;
21874;estimation;Onobrychis viciifolia;leaves distributed regularly along the stem ;1;BIOLFLOR database;
21876;estimation;Onobrychis arenaria;leaves distributed regularly along the stem ;1;BIOLFLOR database;
21886;estimation;Lotus corniculatus;leaves distributed regularly along the stem ;1;BIOLFLOR database;
21901;estimation;Lupinus albus;semi-rosette ;1;BIOLFLOR database;
11506;estimation;Logfia arvensis;semi-rosette ;1;BIOLFLOR database;
11510;estimation;Mycelis muralis;semi-rosette ;1;BIOLFLOR database;
11511;estimation;Omalotheca norvegica;semi-rosette ;1;BIOLFLOR database;
11627;estimation;Petasites paradoxus;rosette / tufted plant above ground, above ground in water or on water surface ;1;BIOLFLOR database;
11636;estimation;Scorzonera parviflora;semi-rosette ;1;BIOLFLOR database;
11672;estimation;Berberis vulgaris;leaves distributed regularly along the stem ;1;BIOLFLOR database;
11679;estimation;Epimedium alpinum;leaves distributed regularly along the stem ;1;BIOLFLOR database;
11687;estimation;Mahonia aquifolium;leaves distributed regularly along the stem ;1;BIOLFLOR database;
11694;estimation;Alnus glutinosa;leaves distributed regularly along the stem ;1;BIOLFLOR database;
11695;estimation;Alnus incana;leaves distributed regularly along the stem ;1;BIOLFLOR database;
11702;estimation;Alnus viridis;leaves distributed regularly along the stem ;1;BIOLFLOR database;
11714;estimation;Betula humilis;leaves distributed regularly along the stem ;1;BIOLFLOR database;
11715;estimation;Betula nana;leaves distributed regularly along the stem ;1;BIOLFLOR database;
11720;estimation;Betula pendula;leaves distributed regularly along the stem ;1;BIOLFLOR database;
14011;estimation;Hirschfeldia incana;semi-rosette ;1;BIOLFLOR database;
14025;estimation;Iberis amara;leaves distributed regularly along the stem ;1;BIOLFLOR database;
14042;estimation;Iberis umbellata;leaves distributed regularly along the stem ;1;BIOLFLOR database;
14059;estimation;Kernera saxatilis;semi-rosette ;1;BIOLFLOR database;
26480;estimation;Ludwigia palustris;leaves distributed regularly along the stem ;1;BIOLFLOR database;
26496;estimation;Epilobium montanum;leaves distributed regularly along the stem ;1;BIOLFLOR database;
26501;estimation;Epilobium nutans;leaves distributed regularly along the stem ;1;BIOLFLOR database;
26502;estimation;Epilobium obscurum;leaves distributed regularly along the stem ;1;BIOLFLOR database;
26504;estimation;Epilobium palustre;leaves distributed regularly along the stem ;1;BIOLFLOR database;
26505;estimation;Epilobium parviflorum;leaves distributed regularly along the stem ;1;BIOLFLOR database;
26505;estimation;Epilobium parviflorum;semi-rosette ;1;BIOLFLOR database;
26508;estimation;Epilobium roseum;semi-rosette ;1;BIOLFLOR database;
26518;estimation;Epilobium ciliatum;semi-rosette ;1;BIOLFLOR database;
26520;estimation;Epilobium collinum;leaves distributed regularly along the stem ;1;BIOLFLOR database;
26526;estimation;Epilobium dodonaei;leaves distributed regularly along the stem ;1;BIOLFLOR database;
26533;estimation;Epilobium fleischeri;leaves distributed regularly along the stem ;1;BIOLFLOR database;
26536;estimation;Epilobium hirsutum;leaves distributed regularly along the stem ;1;BIOLFLOR database;
26540;estimation;Epilobium lanceolatum;leaves distributed regularly along the stem ;1;BIOLFLOR database;
26547;estimation;Thalictrum minus;semi-rosette ;1;BIOLFLOR database;
26553;estimation;Thalictrum morisonii;leaves distributed regularly along the stem ;1;BIOLFLOR database;
26553;estimation;Thalictrum morisonii;semi-rosette ;1;BIOLFLOR database;
26562;estimation;Thalictrum simplex;leaves distributed regularly along the stem ;1;BIOLFLOR database;
26571;estimation;Thalictrum lucidum;semi-rosette ;1;BIOLFLOR database;
26588;estimation;Ranunculus trichophyllus;leaves distributed regularly along the stem ;1;BIOLFLOR database;
16770;estimation;Hieracium maculatum;semi-rosette ;1;BIOLFLOR database;
16782;estimation;Cerastium arvense;leaves distributed regularly along the stem ;1;BIOLFLOR database;
16786;estimation;Cerastium brachypetalum;semi-rosette ;1;BIOLFLOR database;
16789;estimation;Cerastium brachypetalum s. tenoreanum;semi-rosette ;1;BIOLFLOR database;
16798;estimation;Cerastium fontanum;leaves distributed regularly along the stem ;1;BIOLFLOR database;
16814;estimation;Arenaria ciliata;leaves distributed regularly along the stem ;1;BIOLFLOR database;
16833;estimation;Arenaria serpyllifolia;leaves distributed regularly along the stem ;1;BIOLFLOR database;
16836;estimation;Hieracium prinzii;semi-rosette ;1;BIOLFLOR database;
16863;estimation;Cerastium pumilum;semi-rosette ;1;BIOLFLOR database;
16880;estimation;Dianthus carthusianorum;semi-rosette ;1;BIOLFLOR database;
16895;estimation;Cerastium alpinum;leaves distributed regularly along the stem ;1;BIOLFLOR database;
16914;estimation;Dianthus seguieri;semi-rosette ;1;BIOLFLOR database;
16923;estimation;Dianthus sylvestris;semi-rosette ;1;BIOLFLOR database;
16936;estimation;Gypsophila fastigiata;leaves distributed regularly along the stem ;1;BIOLFLOR database;
16941;estimation;Gypsophila paniculata;leaves distributed regularly along the stem ;1;BIOLFLOR database;
16964;estimation;Paronychia kapela;leaves distributed regularly along the stem ;1;BIOLFLOR database;
17001;estimation;Herniaria hirsuta;leaves distributed regularly along the stem ;1;BIOLFLOR database;
17010;estimation;Holosteum umbellatum;semi-rosette ;1;BIOLFLOR database;
17028;estimation;Sagina apetala;leaves distributed regularly along the stem ;1;BIOLFLOR database;
17033;estimation;Sagina maritima;leaves distributed regularly along the stem ;1;BIOLFLOR database;
17043;estimation;Minuartia setacea;leaves distributed regularly along the stem ;1;BIOLFLOR database;
17060;estimation;Minuartia verna;leaves distributed regularly along the stem ;1;BIOLFLOR database;
17069;estimation;Moehringia ciliata;leaves distributed regularly along the stem ;1;BIOLFLOR database;
21911;estimation;Medicago minima;semi-rosette ;1;BIOLFLOR database;
21919;estimation;Lathyrus bauhinii;leaves distributed regularly along the stem ;1;BIOLFLOR database;
21923;estimation;Lathyrus hirsutus;leaves distributed regularly along the stem ;1;BIOLFLOR database;
21925;estimation;Lathyrus japonicus;leaves distributed regularly along the stem ;1;BIOLFLOR database;
21940;estimation;Onobrychis montana;leaves distributed regularly along the stem ;1;BIOLFLOR database;
21956;estimation;Ononis natrix;leaves distributed regularly along the stem ;1;BIOLFLOR database;
21958;estimation;Ononis spinosa;leaves distributed regularly along the stem ;1;BIOLFLOR database;
21992;estimation;Trifolium aureum;semi-rosette ;1;BIOLFLOR database;
21993;estimation;Trifolium badium;semi-rosette ;1;BIOLFLOR database;
22005;estimation;Trifolium fragiferum;semi-rosette ;1;BIOLFLOR database;
22019;estimation;Ornithopus sativus;semi-rosette ;1;BIOLFLOR database;
22039;estimation;Phaseolus vulgaris;leaves distributed regularly along the stem ;1;BIOLFLOR database;
22040;estimation;Pisum sativum;leaves distributed regularly along the stem ;1;BIOLFLOR database;
22045;estimation;Robinia pseudacacia;leaves distributed regularly along the stem ;1;BIOLFLOR database;
22050;estimation;Trifolium thalii;semi-rosette ;1;BIOLFLOR database;
22076;estimation;Vicia articulata;leaves distributed regularly along the stem ;1;BIOLFLOR database;
22081;estimation;Trifolium medium;leaves distributed regularly along the stem ;1;BIOLFLOR database;
22088;estimation;Trifolium ochroleucon;semi-rosette ;1;BIOLFLOR database;
22096;estimation;Trifolium pratense;semi-rosette ;1;BIOLFLOR database;
22101;estimation;Trifolium repens;semi-rosette ;1;BIOLFLOR database;
21444;estimation;Lotus pedunculatus;leaves distributed regularly along the stem ;1;BIOLFLOR database;
21449;estimation;Lupinus angustifolius;semi-rosette ;1;BIOLFLOR database;
21474;estimation;Oxytropis jacquinii;semi-rosette ;1;BIOLFLOR database;
21479;estimation;Oxytropis pilosa;semi-rosette ;1;BIOLFLOR database;
21509;estimation;Ononis arvensis;leaves distributed regularly along the stem ;1;BIOLFLOR database;
21525;estimation;Trigonella foenum-graecum;leaves distributed regularly along the stem ;1;BIOLFLOR database;
21547;estimation;Trifolium montanum;semi-rosette ;1;BIOLFLOR database;
21564;estimation;Tetragonolobus maritimus;leaves distributed regularly along the stem ;1;BIOLFLOR database;
21571;estimation;Trifolium incarnatum;leaves distributed regularly along the stem ;1;BIOLFLOR database;
21571;estimation;Trifolium incarnatum;semi-rosette ;1;BIOLFLOR database;
11072;estimation;Rudbeckia hirta;leaves distributed regularly along the stem ;1;BIOLFLOR database;
11072;estimation;Rudbeckia hirta;semi-rosette ;1;BIOLFLOR database;
11102;estimation;Senecio ovirensis s. gaudinii;semi-rosette ;1;BIOLFLOR database;
11179;estimation;Senecio vernalis;semi-rosette ;1;BIOLFLOR database;
11230;estimation;Senecio erucifolius;semi-rosette ;1;BIOLFLOR database;
11311;estimation;Omalotheca sylvatica;semi-rosette ;1;BIOLFLOR database;
11345;estimation;Xanthium spinosum;leaves distributed regularly along the stem ;1;BIOLFLOR database;
11400;estimation;Logfia minima;semi-rosette ;1;BIOLFLOR database;
11409;estimation;Senecio aquaticus s. barbareifolius;semi-rosette ;1;BIOLFLOR database;
11419;estimation;Senecio paludosus;semi-rosette ;1;BIOLFLOR database;
11441;estimation;Tolpis staticifolia;rosette / tufted plant above ground, above ground in water or on water surface ;1;BIOLFLOR database;
11451;estimation;Tanacetum parthenium;semi-rosette ;1;BIOLFLOR database;
26187;estimation;Orobanche loricata;leaves distributed regularly along the stem ;1;BIOLFLOR database;
26352;estimation;Menyanthes trifoliata;leaves distributed regularly along the stem ;1;BIOLFLOR database;
26354;estimation;Nymphoides peltata;rosette / tufted plant above ground, above ground in water or on water surface ;1;BIOLFLOR database;
26363;estimation;Ligustrum vulgare;leaves distributed regularly along the stem ;1;BIOLFLOR database;
26377;estimation;Syringa vulgaris;leaves distributed regularly along the stem ;1;BIOLFLOR database;
26381;estimation;Fraxinus excelsior;leaves distributed regularly along the stem ;1;BIOLFLOR database;
26396;estimation;Fraxinus ornus;leaves distributed regularly along the stem ;1;BIOLFLOR database;
26402;estimation;Fraxinus pennsylvanica;leaves distributed regularly along the stem ;1;BIOLFLOR database;
16558;estimation;Moenchia erecta;leaves distributed regularly along the stem ;1;BIOLFLOR database;
16558;estimation;Moenchia erecta;semi-rosette ;1;BIOLFLOR database;
16597;estimation;Minuartia austriaca;leaves distributed regularly along the stem ;1;BIOLFLOR database;
16602;estimation;Silene italica;semi-rosette ;1;BIOLFLOR database;
16631;estimation;Silene conica;semi-rosette ;1;BIOLFLOR database;
16636;estimation;Petrorhagia prolifera;semi-rosette ;1;BIOLFLOR database;
16644;estimation;Sagina nodosa;semi-rosette ;1;BIOLFLOR database;
16651;estimation;Sagina saginoides;semi-rosette ;1;BIOLFLOR database;
16657;estimation;Silene vulgaris;leaves distributed regularly along the stem ;1;BIOLFLOR database;
16673;estimation;Silene nutans;semi-rosette ;1;BIOLFLOR database;
16731;estimation;Spergula arvensis;leaves distributed regularly along the stem ;1;BIOLFLOR database;
16733;estimation;Spergula pentandra;leaves distributed regularly along the stem ;1;BIOLFLOR database;
16741;estimation;Spergularia media;leaves distributed regularly along the stem ;1;BIOLFLOR database;
16753;estimation;Stellaria holostea;leaves distributed regularly along the stem ;1;BIOLFLOR database;
16755;estimation;Stellaria media;leaves distributed regularly along the stem ;1;BIOLFLOR database;
16759;estimation;Stellaria neglecta;leaves distributed regularly along the stem ;1;BIOLFLOR database;
16761;estimation;Stellaria nemorum;leaves distributed regularly along the stem ;1;BIOLFLOR database;
21606;estimation;Vicia dumetorum;leaves distributed regularly along the stem ;1;BIOLFLOR database;
21610;estimation;Vicia grandiflora;leaves distributed regularly along the stem ;1;BIOLFLOR database;
21630;estimation;Trifolium retusum;leaves distributed regularly along the stem ;1;BIOLFLOR database;
21630;estimation;Trifolium retusum;semi-rosette ;1;BIOLFLOR database;
21632;estimation;Trifolium scabrum;leaves distributed regularly along the stem ;1;BIOLFLOR database;
21632;estimation;Trifolium scabrum;semi-rosette ;1;BIOLFLOR database;
21660;estimation;Anthyllis vulneraria;semi-rosette ;1;BIOLFLOR database;
21673;estimation;Astragalus alpinus;leaves distributed regularly along the stem ;1;BIOLFLOR database;
21682;estimation;Astragalus exscapus;rosette / tufted plant above ground, above ground in water or on water surface ;1;BIOLFLOR database;
21746;estimation;Astragalus frigidus;leaves distributed regularly along the stem ;1;BIOLFLOR database;
21791;estimation;Chamaespartium sagittale;leaves distributed regularly along the stem ;1;BIOLFLOR database;
21799;estimation;Colutea arborescens;leaves distributed regularly along the stem ;1;BIOLFLOR database;
21803;estimation;Coronilla coronata;leaves distributed regularly along the stem ;1;BIOLFLOR database;
21810;estimation;Coronilla varia;leaves distributed regularly along the stem ;1;BIOLFLOR database;
21815;estimation;Lathyrus niger;leaves distributed regularly along the stem ;1;BIOLFLOR database;
28785;estimation;Androsace maxima;rosette / tufted plant above ground, above ground in water or on water surface ;1;BIOLFLOR database;
28789;estimation;Lysimachia thyrsiflora;leaves distributed regularly along the stem ;1;BIOLFLOR database;
28795;estimation;Chimaphila umbellata;leaves distributed regularly along the stem ;1;BIOLFLOR database;
28798;estimation;Moneses uniflora;rosette / tufted plant above ground, above ground in water or on water surface ;1;BIOLFLOR database;
17086;estimation;Scleranthus annuus;leaves distributed regularly along the stem ;1;BIOLFLOR database;
17092;estimation;Scleranthus perennis;leaves distributed regularly along the stem ;1;BIOLFLOR database;
17102;estimation;Silene acaulis;leaves distributed regularly along the stem ;1;BIOLFLOR database;
17110;estimation;Silene armeria;semi-rosette ;1;BIOLFLOR database;
17131;estimation;Gypsophila repens;leaves distributed regularly along the stem ;1;BIOLFLOR database;
17132;estimation;Gypsophila scorzonerifolia Ser.;leaves distributed regularly along the stem ;1;BIOLFLOR database;
17139;estimation;Illecebrum verticillatum;leaves distributed regularly along the stem ;1;BIOLFLOR database;
17207;estimation;Cerastium cerastoides;leaves distributed regularly along the stem ;1;BIOLFLOR database;
17210;estimation;Cerastium dubium;semi-rosette ;1;BIOLFLOR database;
19175;estimation;Dipsacus sativus;semi-rosette ;1;BIOLFLOR database;
19186;estimation;Succisa pratensis;semi-rosette ;1;BIOLFLOR database;
19228;estimation;Scabiosa ochroleuca;semi-rosette ;1;BIOLFLOR database;
19256;estimation;Dipsacus pilosus;semi-rosette ;1;BIOLFLOR database;
19264;estimation;Dipsacus laciniatus;semi-rosette ;1;BIOLFLOR database;
19273;estimation;Hieracium schmidtii;semi-rosette ;1;BIOLFLOR database;
19273;estimation;Hieracium schmidtii;rosette / tufted plant above ground, above ground in water or on water surface ;1;BIOLFLOR database;
19283;estimation;Scabiosa lucida;semi-rosette ;1;BIOLFLOR database;
19307;estimation;Hieracium sommerfeltii;semi-rosette ;1;BIOLFLOR database;
19319;estimation;Succisella inflexa;semi-rosette ;1;BIOLFLOR database;
19330;estimation;Knautia kitaibelii;semi-rosette ;1;BIOLFLOR database;
19339;estimation;Knautia dipsacifolia;semi-rosette ;1;BIOLFLOR database;
19345;estimation;Knautia drymeia;semi-rosette ;1;BIOLFLOR database;
19359;estimation;Dipsacus fullonum;semi-rosette ;1;BIOLFLOR database;
24284;estimation;Mentha pulegium;leaves distributed regularly along the stem ;1;BIOLFLOR database;
24289;estimation;Mentha spicata;leaves distributed regularly along the stem ;1;BIOLFLOR database;
24299;estimation;Salvia pratensis;semi-rosette ;1;BIOLFLOR database;
24343;estimation;Phlomis tuberosa;semi-rosette ;1;BIOLFLOR database;
24350;estimation;Prunella vulgaris;leaves distributed regularly along the stem ;1;BIOLFLOR database;
24369;estimation;Stachys arvensis;leaves distributed regularly along the stem ;1;BIOLFLOR database;
24386;estimation;Scutellaria galericulata;leaves distributed regularly along the stem ;1;BIOLFLOR database;
24425;estimation;Hippuris vulgaris;leaves distributed regularly along the stem ;1;BIOLFLOR database;
24460;estimation;Teucrium scorodonia;leaves distributed regularly along the stem ;1;BIOLFLOR database;
24493;estimation;Acinos arvensis;leaves distributed regularly along the stem ;1;BIOLFLOR database;
24497;estimation;Ajuga chamaepitys;semi-rosette ;1;BIOLFLOR database;
24516;estimation;Thymus pannonicus;leaves distributed regularly along the stem ;1;BIOLFLOR database;
24563;estimation;Ballota nigra;leaves distributed regularly along the stem ;1;BIOLFLOR database;
24586;estimation;Galeopsis bifida;leaves distributed regularly along the stem ;1;BIOLFLOR database;
24587;estimation;Galeopsis ladanum;leaves distributed regularly along the stem ;1;BIOLFLOR database;
24605;estimation;Acinos alpinus;leaves distributed regularly along the stem ;1;BIOLFLOR database;
24606;estimation;Lycopus europaeus;leaves distributed regularly along the stem ;1;BIOLFLOR database;
24609;estimation;Lycopus exaltatus;leaves distributed regularly along the stem ;1;BIOLFLOR database;
24614;estimation;Marrubium vulgare;leaves distributed regularly along the stem ;1;BIOLFLOR database;
24619;estimation;Melittis melissophyllum;leaves distributed regularly along the stem ;1;BIOLFLOR database;
24622;estimation;Mentha aquatica;leaves distributed regularly along the stem ;1;BIOLFLOR database;
24632;estimation;Mentha longifolia;leaves distributed regularly along the stem ;1;BIOLFLOR database;
24648;estimation;Galeopsis tetrahit;leaves distributed regularly along the stem ;1;BIOLFLOR database;
24650;estimation;Glechoma hederacea;leaves distributed regularly along the stem ;1;BIOLFLOR database;
14251;estimation;Cardamine pentaphyllos;leaves distributed regularly along the stem ;1;BIOLFLOR database;
14269;estimation;Arabis parvula;semi-rosette ;1;BIOLFLOR database;
14273;estimation;Arabis sagittata;semi-rosette ;1;BIOLFLOR database;
14276;estimation;Arabis soyeri;semi-rosette ;1;BIOLFLOR database;
14291;estimation;Barbarea vulgaris;semi-rosette ;1;BIOLFLOR database;
14292;estimation;Berteroa incana;semi-rosette ;1;BIOLFLOR database;
14330;estimation;Aethionema saxatile;leaves distributed regularly along the stem ;1;BIOLFLOR database;
14366;estimation;Alyssum montanum;leaves distributed regularly along the stem ;1;BIOLFLOR database;
14378;estimation;Barbarea stricta;semi-rosette ;1;BIOLFLOR database;
14415;estimation;Bunias orientalis;semi-rosette ;1;BIOLFLOR database;
14430;estimation;Cardamine bulbifera;leaves distributed regularly along the stem ;1;BIOLFLOR database;
14432;estimation;Cardamine enneaphyllos;leaves distributed regularly along the stem ;1;BIOLFLOR database;
14443;estimation;Hieracium murorum;semi-rosette ;1;BIOLFLOR database;
14443;estimation;Hieracium murorum;rosette / tufted plant above ground, above ground in water or on water surface ;1;BIOLFLOR database;
14444;estimation;Cardamine parviflora;semi-rosette ;1;BIOLFLOR database;
14463;estimation;Crambe maritima;semi-rosette ;1;BIOLFLOR database;
14468;estimation;Diplotaxis tenuifolia;leaves distributed regularly along the stem ;1;BIOLFLOR database;
14514;estimation;Erysimum repandum;semi-rosette ;1;BIOLFLOR database;
14515;estimation;Hieracium glaucinum;semi-rosette ;1;BIOLFLOR database;
14515;estimation;Hieracium glaucinum;rosette / tufted plant above ground, above ground in water or on water surface ;1;BIOLFLOR database;
15244;estimation;Campanula baumgartenii;semi-rosette ;1;BIOLFLOR database;
15249;estimation;Campanula bononiensis;semi-rosette ;1;BIOLFLOR database;
15267;estimation;Campanula alliariifolia;semi-rosette ;1;BIOLFLOR database;
15270;estimation;Campanula alpina;semi-rosette ;1;BIOLFLOR database;
15316;estimation;Adenophora lilifolia;semi-rosette ;1;BIOLFLOR database;
15329;estimation;Symphoricarpos albus;leaves distributed regularly along the stem ;1;BIOLFLOR database;
15334;estimation;Viburnum lantana;leaves distributed regularly along the stem ;1;BIOLFLOR database;
28809;estimation;Orthilia secunda;leaves distributed regularly along the stem ;1;BIOLFLOR database;
19476;estimation;Vaccinium oxycoccos;leaves distributed regularly along the stem ;1;BIOLFLOR database;
19479;estimation;Vaccinium uliginosum;leaves distributed regularly along the stem ;1;BIOLFLOR database;
19489;estimation;Erica tetralix;leaves distributed regularly along the stem ;1;BIOLFLOR database;
19496;estimation;Kalmia angustifolia;leaves distributed regularly along the stem ;1;BIOLFLOR database;
19499;estimation;Ledum palustre;leaves distributed regularly along the stem ;1;BIOLFLOR database;
19506;estimation;Loiseleuria procumbens;leaves distributed regularly along the stem ;1;BIOLFLOR database;
19514;estimation;Rhododendron ferrugineum;leaves distributed regularly along the stem ;1;BIOLFLOR database;
19516;estimation;Rhododendron hirsutum;leaves distributed regularly along the stem ;1;BIOLFLOR database;
19518;estimation;Rhododendron luteum;leaves distributed regularly along the stem ;1;BIOLFLOR database;
24658;estimation;Hyssopus officinalis;leaves distributed regularly along the stem ;1;BIOLFLOR database;
24725;estimation;Lavandula angustifolia;leaves distributed regularly along the stem ;1;BIOLFLOR database;
24767;estimation;Salvia nemorosa;leaves distributed regularly along the stem ;1;BIOLFLOR database;
24784;estimation;Nepeta cataria;leaves distributed regularly along the stem ;1;BIOLFLOR database;
24800;estimation;Stachys recta;leaves distributed regularly along the stem ;1;BIOLFLOR database;
24813;estimation;Teucrium chamaedrys;leaves distributed regularly along the stem ;1;BIOLFLOR database;
24834;estimation;Stachys annua;leaves distributed regularly along the stem ;1;BIOLFLOR database;
24844;estimation;Stachys germanica;leaves distributed regularly along the stem ;1;BIOLFLOR database;
24902;estimation;Teucrium scordium;leaves distributed regularly along the stem ;1;BIOLFLOR database;
24916;estimation;Stachys officinalis;leaves distributed regularly along the stem ;1;BIOLFLOR database;
28820;estimation;Soldanella austriaca;rosette / tufted plant above ground, above ground in water or on water surface ;1;BIOLFLOR database;
28841;estimation;Cortusa matthioli;rosette / tufted plant above ground, above ground in water or on water surface ;1;BIOLFLOR database;
28845;estimation;Androsace obtusifolia;rosette / tufted plant above ground, above ground in water or on water surface ;1;BIOLFLOR database;
28853;estimation;Primula clusiana;rosette / tufted plant above ground, above ground in water or on water surface ;1;BIOLFLOR database;
28855;estimation;Androsace hausmannii;rosette / tufted plant above ground, above ground in water or on water surface ;1;BIOLFLOR database;
28858;estimation;Primula veris;rosette / tufted plant above ground, above ground in water or on water surface ;1;BIOLFLOR database;
28861;estimation;Glaux maritima;leaves distributed regularly along the stem ;1;BIOLFLOR database;
28884;estimation;Primula hirsuta;rosette / tufted plant above ground, above ground in water or on water surface ;1;BIOLFLOR database;
28904;estimation;Soldanella alpina;rosette / tufted plant above ground, above ground in water or on water surface ;1;BIOLFLOR database;
28905;estimation;Androsace septentrionalis;rosette / tufted plant above ground, above ground in water or on water surface ;1;BIOLFLOR database;
28913;estimation;Primula auricula;rosette / tufted plant above ground, above ground in water or on water surface ;1;BIOLFLOR database;
28915;estimation;Primula farinosa;rosette / tufted plant above ground, above ground in water or on water surface ;1;BIOLFLOR database;
28918;estimation;Hottonia palustris;semi-rosette ;1;BIOLFLOR database;
28920;estimation;Androsace helvetica;rosette / tufted plant above ground, above ground in water or on water surface ;1;BIOLFLOR database;
28922;estimation;Lysimachia nummularia;leaves distributed regularly along the stem ;1;BIOLFLOR database;
28927;estimation;Lysimachia nemorum;leaves distributed regularly along the stem ;1;BIOLFLOR database;
28929;estimation;Lysimachia punctata;leaves distributed regularly along the stem ;1;BIOLFLOR database;
28935;estimation;Anagallis tenella;leaves distributed regularly along the stem ;1;BIOLFLOR database;
28953;estimation;Anagallis minima;leaves distributed regularly along the stem ;1;BIOLFLOR database;
19381;estimation;Scabiosa columbaria;semi-rosette ;1;BIOLFLOR database;
19427;estimation;Scabiosa canescens;semi-rosette ;1;BIOLFLOR database;
19439;estimation;Vaccinium vitis-idaea;leaves distributed regularly along the stem ;1;BIOLFLOR database;
19449;estimation;Empetrum nigrum;leaves distributed regularly along the stem ;1;BIOLFLOR database;
19451;estimation;Empetrum nigrum s. hermaphroditum;leaves distributed regularly along the stem ;1;BIOLFLOR database;
19464;estimation;Rhodothamnus chamaecistus;leaves distributed regularly along the stem ;1;BIOLFLOR database;
19470;estimation;Vaccinium macrocarpon;leaves distributed regularly along the stem ;1;BIOLFLOR database;
19475;estimation;Vaccinium myrtillus;leaves distributed regularly along the stem ;1;BIOLFLOR database;
24228;estimation;Galeopsis pubescens;leaves distributed regularly along the stem ;1;BIOLFLOR database;
24230;estimation;Galeopsis segetum;leaves distributed regularly along the stem ;1;BIOLFLOR database;
24236;estimation;Hieracium piliferum;semi-rosette ;1;BIOLFLOR database;
24236;estimation;Hieracium piliferum;rosette / tufted plant above ground, above ground in water or on water surface ;1;BIOLFLOR database;
24254;estimation;Nepeta grandiflora;leaves distributed regularly along the stem ;1;BIOLFLOR database;
14065;estimation;Draba muralis;semi-rosette ;1;BIOLFLOR database;
14066;estimation;Draba nemorosa;semi-rosette ;1;BIOLFLOR database;
14069;estimation;Draba siliquosa;semi-rosette ;1;BIOLFLOR database;
14075;estimation;Erophila verna;rosette / tufted plant above ground, above ground in water or on water surface ;1;BIOLFLOR database;
14097;estimation;Erysimum cheiranthoides;semi-rosette ;1;BIOLFLOR database;
14107;estimation;Erysimum marschallianum;semi-rosette ;1;BIOLFLOR database;
14128;estimation;Cardamine resedifolia;semi-rosette ;1;BIOLFLOR database;
14129;estimation;Cardamine trifolia;leaves distributed regularly along the stem ;1;BIOLFLOR database;
14130;estimation;Cardaminopsis arenosa;semi-rosette ;1;BIOLFLOR database;
14132;estimation;Cardaminopsis halleri;semi-rosette ;1;BIOLFLOR database;
14148;estimation;Cochlearia officinalis;semi-rosette ;1;BIOLFLOR database;
14154;estimation;Coronopus squamatus;rosette / tufted plant above ground, above ground in water or on water surface ;1;BIOLFLOR database;
14168;estimation;Diplotaxis viminea;semi-rosette ;1;BIOLFLOR database;
