The following table was created as response to the SQL query
SELECT sbs_sbsnumber "SBS number", m_methodname "general method", sbs_sbsname "SBS name", sfb_category "shoot growth form", sfb_branching "branching", sfb_valid "valid", ref_refname "reference", or_origrefname "original reference" FROM (SELECT sfb_m.sfb_category, sbs.sbs_sbsnumber, sfb_m.m_methodname, sbs.sbs_sbsname, sfb_m.sfb_branching, sfb_m.sfb_valid, sfb_m.ref_refname, sfb_m.or_origrefname, sfb_m.sfb_sbsnumber FROM (SELECT speciesno AS sbs_sbsnumber, fullname AS sbs_sbsname FROM (SELECT fullname, speciesno, familyname, isinledalist from (select fullname, speciesno, family as familyid, isinledalist from taxon where specieslist = 60028) natural join taxonomicfamily)) sbs JOIN (SELECT r_sfb.sfb_sbsnumber, r_sfb.sfb_category, m.m_methodname, r_sfb.sfb_branching, r_sfb.sfb_valid, r_sfb.ref_refname, r_sfb.or_origrefname FROM (SELECT sfb_orf.sfb_sbsnumber, sfb_orf.sfb_category, sfb_orf.sfb_methodid, sfb_orf.sfb_branching, sfb_orf.sfb_valid, r.ref_refname, sfb_orf.or_origrefname FROM (SELECT referenceid AS ref_referenceid, refname AS ref_refname FROM (select referenceid, refname, reftypeid from reference)) r LEFT JOIN (SELECT sfb.sfb_sbsnumber, sfb.sfb_category, sfb.sfb_methodid, sfb.sfb_branching, sfb.sfb_valid, sfb.sfb_referenceid, orf.or_origrefname FROM (SELECT sbsnumber AS sfb_sbsnumber, shootformname AS sfb_category, methodid AS sfb_methodid, branchingtypename AS sfb_branching, valid AS sfb_valid, referenceid AS sfb_referenceid, origreferenceid AS sfb_origreferenceid FROM (select sbsnumber, taxonid, georefid, habitattypeid, referenceid, origreferenceid, batchid, methodid, collectiondate, p_comment, shootformnameid, branchingtypeid, created_when, updated_when, valid, validsince, validuntil, ledaid, shootformname, case when branchingtypeid = 0 then 'unknown' when branchingtypeid = 1 then 'yes' when branchingtypeid = 2 then 'no' else NULL end as branchingtypename, shootformid 
from
(select sbsnumber, taxonid, georefid, habitattypeid, referenceid, origreferenceid, batchid, methodid, collectiondate, p_comment, shootformnameid, branchingtypeid, created_when, updated_when, valid, validsince, validuntil, ledaid, shootformid from shootform natural join taxontosbsassignment)
natural join
shootformname_lv WHERE valid IN (-2, 1))) sfb FULL JOIN (SELECT origreferenceid AS or_origrefid, origrefname AS or_origrefname FROM (select referenceid as origreferenceid, refname as origrefname, reftypeid as origreftypeid from reference)) orf ON sfb.sfb_origreferenceid = orf.or_origrefid) sfb_orf ON r.ref_referenceid = sfb_orf.sfb_referenceid) r_sfb LEFT JOIN (SELECT methodid AS m_methodid, methodname AS m_methodname FROM (select * from method_lv)) m ON r_sfb.sfb_methodid = m.m_methodid) sfb_m ON sbs.sbs_sbsnumber = sfb_m.sfb_sbsnumber)
on Mon Apr 26 11:09:26 CEST 2010 .

SBS number;general method;SBS name;shoot growth form;branching;valid;reference;original reference
21598;estimation (following LEDA data standards);Vicia villosa;Lianas and climbers;;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
22123;estimation (following LEDA data standards);Vicia tenuifolia;Lianas and climbers;;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
22128;estimation (following LEDA data standards);Vicia cracca;Lianas and climbers;;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
25275;estimation (following LEDA data standards);Viscum album;Stem erect ;;1;BIOPOP April 2005;Ellenberg, H.(1992): Zeigerwerte von Pflanzen in Mitteleuropa
16443;estimation (following LEDA data standards);Cucubalus baccifer;Lianas and climbers;;1;Barkman, J.J.(1988): New systems of plant growth forms and phenological plant types;Barkman, J.J.(1988): New systems of plant growth forms and phenological plant types
31403;derivation from photos or drawings;Saxifraga cotyledon;Stem erect ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
33054;derivation from photos or drawings;Linaria genistifolia;Stem erect ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
33791;derivation from photos or drawings;Linaria incarnata;Stem erect ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
30734;derivation from photos or drawings;Spiraea tomentosa;Stem erect ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
35944;derivation from photos or drawings;Juncus arcticus;Stem erect ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
36164;derivation from photos or drawings;Juncus minutulus;Stem erect ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
31528;derivation from photos or drawings;Saxifraga paniculata;Stem erect ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
31809;derivation from photos or drawings;Asperula orientalis;Stem erect ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
32194;derivation from photos or drawings;Galium suecicum;Stem ascending to prostrate ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
30116;derivation from photos or drawings;Geum aleppicum;Stem erect ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
30381;derivation from photos or drawings;Alchemilla propinqua;Stem ascending to prostrate ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
34947;derivation from photos or drawings;Solanum sisymbrifolium;Stem erect ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
34980;derivation from photos or drawings;Physalis philadelphica;Stem erect ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
35034;derivation from photos or drawings;Solanum cornutum;Stem erect ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
35074;derivation from photos or drawings;Solanum americanum;Stem erect ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
35076;derivation from photos or drawings;Capsicum annuum;Stem erect ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
34452;derivation from photos or drawings;Linaria alpina;Stem erect ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
33481;derivation from photos or drawings;Pedicularis lapponica;Stem erect ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
33763;derivation from photos or drawings;Pedicularis oederi;Stem erect ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
36945;derivation from photos or drawings;Carex atrata s. aterrima;Stem erect ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
37141;derivation from photos or drawings;Eriophorum scheuchzeri;Stem erect ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
37252;derivation from photos or drawings;Carex pediformis;Stem ascending to prostrate ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
40263;derivation from photos or drawings;Calamagrostis purpurea;Stem erect ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
40298;derivation from photos or drawings;Deschampsia cespitosa s. alpina;Stem erect ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
40372;derivation from photos or drawings;Bromus squarrosus;Stem erect ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
40600;derivation from photos or drawings;Beckmannia eruciformis;Stem erect ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
40856;derivation from photos or drawings;Agrostis mertensii;Stem erect ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
37766;derivation from photos or drawings;Carex livida;Stem erect ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
38021;derivation from photos or drawings;Carex atherodes;Stem erect ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
38084;derivation from photos or drawings;Scilla amoena;Stem erect ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
42158;derivation from photos or drawings;Bromus lanceolatus;Stem erect ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
37651;derivation from photos or drawings;Carex salina;Stem erect ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
41403;derivation from photos or drawings;Agrostis scabra;Stem erect ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
37327;derivation from photos or drawings;Carex loliacea;Stem erect ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
41668;derivation from photos or drawings;Briza maxima;Stem erect ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
39287;derivation from photos or drawings;Allium lineare;Stem erect ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
39298;derivation from photos or drawings;Allium moly;Stem erect ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
39387;derivation from photos or drawings;Allium flavum;Stem erect ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
42261;derivation from photos or drawings;Eragrostis cilianensis;Stem erect ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
62088;derivation from photos or drawings;Cotoneaster scandinavicus;Stem ascending to prostrate ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
42473;derivation from photos or drawings;Lolium rigidum;Stem erect ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
42579;derivation from photos or drawings;Trisetum spicatum;Stem erect ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
45574;derivation from photos or drawings;Dicentra formosa;Stem erect ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
46061;derivation from photos or drawings;Coincya monensis;Stem erect ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
60001;derivation from photos or drawings;Luzula divulgata;Stem erect ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
44859;derivation from photos or drawings;Amaranthus viridis;Stem erect ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
3726;derivation from photos or drawings;Chamaemelum mixtum;Stem erect ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
44546;derivation from photos or drawings;Dryopteris expansa;Stem erect ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
1939;derivation from photos or drawings;Bifora radians;Stem erect ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
1319;derivation from photos or drawings;Eryngium alpinum;Stem erect ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
1329;derivation from photos or drawings;Eryngium planum;Stem erect ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
5102;derivation from photos or drawings;Bidens vulgata;Stem erect ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
5325;derivation from photos or drawings;Bidens radiata;Stem erect ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
5327;derivation from photos or drawings;Artemisia rupestris;Stem ascending to prostrate ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
5491;derivation from photos or drawings;Artemisia pontica;Stem erect ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
5523;derivation from photos or drawings;Doronicum orientale;Stem erect ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
12872;derivation from photos or drawings;Chorispora tenella;Stem erect ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
65;derivation from photos or drawings;Woodsia ilvensis;Stem erect ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
148;derivation from photos or drawings;Asplenium marinum;Stem erect ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
7176;derivation from photos or drawings;Heliopsis helianthoides;Stem erect ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
7409;derivation from photos or drawings;Inula ensifolia;Stem erect ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
22564;derivation from photos or drawings;Geranium divaricatum;Stem erect ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
18480;derivation from photos or drawings;Cucumis melo;Lianas and climbers;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
18181;derivation from photos or drawings;Sedum aizoon;Stem erect ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
18236;derivation from photos or drawings;Sedum hybridum;Stem ascending to prostrate ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
30975;derivation from photos or drawings;Alchemilla plicata;Stem ascending to prostrate ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
27980;derivation from photos or drawings;Reseda odorata;Stem erect ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
13571;derivation from photos or drawings;Euclidium syriacum;Stem erect ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
13583;derivation from photos or drawings;Hesperis tristis;Stem erect ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
27681;derivation from photos or drawings;Polygonum bellardii;Stem erect ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
14061;derivation from photos or drawings;Lepidium bonariense;Stem ascending to prostrate ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
26520;derivation from photos or drawings;Epilobium collinum;Stem erect ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
26537;derivation from photos or drawings;Epilobium hornemannii;Stem erect ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
26539;derivation from photos or drawings;Epilobium lactiflorum;Stem erect ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
21915;derivation from photos or drawings;Laburnum alpinum;Stem erect ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
21525;derivation from photos or drawings;Trigonella foenum-graecum;Stem erect ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
26376;derivation from photos or drawings;Syringa josikaea;Stem erect ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
28795;derivation from photos or drawings;Chimaphila umbellata;Stem ascending to prostrate ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
19362;derivation from photos or drawings;Cephalaria gigantea;Stem erect ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
24371;derivation from photos or drawings;Stachys byzantina;Stem erect ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
19524;derivation from photos or drawings;Cassiope hypnoides;Stem ascending to prostrate ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
14066;derivation from photos or drawings;Draba nemorosa;Stem erect ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
26066;derivation from photos or drawings;Epilobium adenocaulon;Stem erect ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
25760;derivation from photos or drawings;Alcea rosea;Stem erect ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
19049;derivation from photos or drawings;Cephalaria alpina;Stem erect ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
29864;derivation from photos or drawings;Alchemilla subglobosa;Stem ascending to prostrate ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
29481;derivation from photos or drawings;Alchemilla gracilis;Stem ascending to prostrate ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
29542;derivation from photos or drawings;Sorbus hybrida;Stem erect ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Mossberg, Bo(2005): Den nye nordiske Flora []
27723;derivation from photos or drawings;Polygonum alpinum;Stem erect ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Stace, Clive(2001): New flora of the british isles []
19740;derivation from photos or drawings;Astragalus hamosus;Stem prostrate ;;1;Source data from Carl von Ossietzky university of Oldenburg, Landscape Ecology Group, DE (Kunzmann), E-Mail: dkunzmann@gmx.de;Stace, Clive(2001): New flora of the british isles []
40182;derivation from photos or drawings;Festuca nigrescens;Stem erect ;;1;BIOPOP April 2005;Conert, H. C. (2000): Pareys Gr‰serbuch: Die Gr‰ser Deutschlands erkennen und bestimmen
36969;derivation from photos or drawings;Carex muricata subsp. lamprocarpa;Stem erect ;;1;BIOPOP April 2005;Aichele, D. (1988): Unsere Gr‰ser: S¸ssgr‰ser, Sauergr‰ser, Binsen
40398;derivation from photos or drawings;Ammophila arenaria;Stem erect ;;1;BIOPOP April 2005;Aichele, D. (1988): Unsere Gr‰ser: S¸ssgr‰ser, Sauergr‰ser, Binsen
41151;derivation from photos or drawings;Avena sativa;Stem ascending to prostrate ;;1;BIOPOP April 2005;Aichele, D. (1988): Unsere Gr‰ser: S¸ssgr‰ser, Sauergr‰ser, Binsen
41151;derivation from photos or drawings;Avena sativa;Stem erect ;;1;BIOPOP April 2005;Aichele, D. (1988): Unsere Gr‰ser: S¸ssgr‰ser, Sauergr‰ser, Binsen
37871;derivation from photos or drawings;Carex lepidocarpa;Stem erect ;;1;BIOPOP April 2005;Aichele, D. (1988): Unsere Gr‰ser: S¸ssgr‰ser, Sauergr‰ser, Binsen
37242;derivation from photos or drawings;Carex ovalis;Stem erect ;;1;BIOPOP April 2005;Aichele, D. (1988): Unsere Gr‰ser: S¸ssgr‰ser, Sauergr‰ser, Binsen
34226;derivation from photos or drawings;Pedicularis sceptrum-carolinum;Stem erect ;;1;BIOPOP April 2005;Haeupler, H. (2000): Bildatlas der Farn- und Bl¸tenpflanzen Deutschlands
31066;derivation from photos or drawings;Rubus plicatus;Stem erect ;;1;BIOPOP April 2005;Haeupler, H. (2000): Bildatlas der Farn- und Bl¸tenpflanzen Deutschlands
32774;derivation from photos or drawings;Veronica anagallis-aquatica;Stem erect ;;1;BIOPOP April 2005;Haeupler, H. (2000): Bildatlas der Farn- und Bl¸tenpflanzen Deutschlands
