The following table was created as response to the SQL query
SELECT sbs_sbsname "SBS name", sbs_sbsnumber "SBS number", pls_name "plant lifespan", pls_category1 "PLS 1", pls_category2 "PLS 2", ref_refname "reference", pls_genname "gen. plant life span", or_origrefname "original reference" FROM (SELECT case pls_category2id when 10 then 'Annuals' when 11 then 'Summer annuals' when 12 then 'Winter annuals' when 20 then 'Strict monocarpic bi-annuals and poly annuals' when 30 then 'Perennials' when 31 then 'Poly-annuals < 5 years (short-lived perennials)' when 32 then 'Poly-annuals 5-50 years (medium-lived perennials)' when 33 then 'Poly-annuals > 50 years (long-lived perennials)' else null end AS pls_category2, pls_category1, pls_name, sbs_sbsnumber, sbs_sbsname, ref_refname, pls_genname, or_origrefname FROM (SELECT case pls_category1id when 10 then 'Annuals' when 11 then 'Summer annuals' when 12 then 'Winter annuals' when 20 then 'Strict monocarpic bi-annuals and poly annuals' when 30 then 'Perennials' when 31 then 'Poly-annuals < 5 years (short-lived perennials)' when 32 then 'Poly-annuals 5-50 years (medium-lived perennials)' when 33 then 'Poly-annuals > 50 years (long-lived perennials)' else null end AS pls_category1, pls_name, sbs_sbsnumber, sbs_sbsname, pls_category2id, ref_refname, pls_genname, or_origrefname FROM (SELECT r_pls.pls_name, sbs.sbs_sbsnumber, sbs.sbs_sbsname, category1of20(top20of20categories(r_pls.pls_categoryid)) AS pls_category1id, category2of20(top20of20categories(r_pls.pls_categoryid)) AS pls_category2id, r_pls.ref_refname, r_pls.pls_genname, r_pls.or_origrefname FROM (SELECT speciesno AS sbs_sbsnumber, fullname AS sbs_sbsname FROM (SELECT fullname, speciesno, familyname, isinledalist from (select fullname, speciesno, family as familyid, isinledalist from taxon where specieslist = 60028) natural join taxonomicfamily)) sbs JOIN (SELECT pls_orf.pls_sbsnumber, pls_orf.pls_name, pls_orf.pls_categoryid, r.ref_refname, pls_orf.pls_genname, pls_orf.or_origrefname FROM (SELECT referenceid AS ref_referenceid, refname AS ref_refname FROM (select referenceid, refname, reftypeid from reference)) r LEFT JOIN (SELECT pls.pls_sbsnumber, pls.pls_name, pls.pls_categoryid, pls.pls_referenceid, pls.pls_genname, orf.or_origrefname FROM (SELECT sbsnumber AS pls_sbsnumber, plantlifespanname AS pls_name, plantlifespantypeid AS pls_categoryid, referenceid AS pls_referenceid, genplantlifespanname AS pls_genname, origreferenceid AS pls_origreferenceid FROM (SELECT sbsnumber, taxonid, referenceid, origreferenceid, batchid, p_comment, plantlifespantypeid, genplantlifespantypeid, plantlifespanname, genplantlifespanname, plantlifespanid
FROM
	(SELECT plantlifespanid, taxonid, referenceid, origreferenceid, batchid, p_comment, a.plantlifespantypeid, a.plantlifespantypename AS plantlifespanname, b.plantlifespantypename AS genplantlifespanname, b.plantlifespantypeid AS genplantlifespantypeid
	FROM
		(SELECT * FROM PLANTLIFESPAN NATURAL JOIN PLANTLIFESPANTYPE_LV) a
		JOIN
		PLANTLIFESPANTYPE_LV b
		ON a.plantlifespantypeid - MOD(a.plantlifespantypeid,10) = b.plantlifespantypeid
	)
	NATURAL JOIN
	TAXONTOSBSASSIGNMENT)) pls FULL JOIN (SELECT origreferenceid AS or_origrefid, origrefname AS or_origrefname FROM (select referenceid as origreferenceid, refname as origrefname, reftypeid as origreftypeid from reference)) orf ON pls.pls_origreferenceid = orf.or_origrefid) pls_orf ON r.ref_referenceid = pls_orf.pls_referenceid) r_pls ON sbs.sbs_sbsnumber = r_pls.pls_sbsnumber GROUP BY pls_name, sbs_sbsnumber, sbs_sbsname, ref_refname, pls_genname, or_origrefname)))
on Mon Oct 27 17:56:48 CET 2008 .

SBS name;SBS number;plant lifespan;PLS 1;PLS 2;reference;gen. plant life span;original reference
Veronica chamaedrys;32792;perennials;Perennials;;BIOPOP April 2005;perennials;Harris, G. R. (1980): Growth and Reproductive Strategy in Veronica Spp. [45]
Veronica chamaedrys;32792;perennials;Perennials;;BIOPOP April 2005;perennials;J‰ger, E.J. (2002): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Kritischer Band
Veronica chamaedrys;32792;perennials;Perennials;;BIOPOP April 2005;perennials;Boutin, C. (1991): A comparative study of the population dynamics of five species of Veronica in natural habitats.
Veronica chamaedrys s. chamaedrys;32793;perennials;Perennials;;BIOPOP April 2005;perennials;J‰ger, E.J. (2002): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Kritischer Band
Scrophularia nodosa;32862;perennials;Perennials;;BIOPOP April 2005;perennials;Hegi, G. B. (1906): Illustrierte Flora von Mitteleuropa
Scrophularia nodosa;32862;perennials;Perennials;;BIOPOP April 2005;perennials;J‰ger, E.J. (2002): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Kritischer Band
Pedicularis sylvatica;32992;perennials;Perennials;;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: J.vangroenendael@science.ru.nl;perennials;Braun, A.(1864): Flora der province brandenburg []
Linaria vulgaris;33091;perennials;Perennials;;BIOPOP April 2005;perennials;Wehsarg, O. (1954): Ackerunkr‰uter. Biologie. Allgemeine Bek‰mpfung und Einzelbek‰mpfung []
Linaria vulgaris;33091;perennials;Perennials;;BIOPOP April 2005;perennials;Baskin, C. C. (1998): Seeds - Ecology, biogeography and evolution of dormancy and germination []
Linaria vulgaris;33091;perennials;Perennials;;BIOPOP April 2005;perennials;Mulligan, G. A. (1973): Color, brightness, and other floral characteristics attracting insects to the blossoms of some Canadian weeds. [51]
Gratiola officinalis;33117;perennials;Perennials;;BIOPOP April 2005;perennials;Liebenow, H. (1981): Giftpflanzen
Digitalis grandiflora;33169;perennials;Perennials;;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: J.vangroenendael@science.ru.nl;perennials;Polunin, O.(1969): Flowers of Europe []
Digitalis lutea;33173;perennials;Perennials;;BIOPOP April 2005;perennials;J‰ger, E.J. (2002): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Kritischer Band
Digitalis purpurea;33178;perennials;Perennials;;BIOPOP April 2005;perennials;Liebenow, H. (1981): Giftpflanzen
Digitalis purpurea;33178;perennials;Perennials;;BIOPOP April 2005;perennials;Cooper, M. R. (1984): Poisonous plants in Britain and their effects on animals and man
Digitalis purpurea;33178;perennials;Perennials;;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: J.vangroenendael@science.ru.nl;perennials;Polunin, O.(1969): Flowers of Europe []
Digitalis purpurea;33178;perennials;Perennials;;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: J.vangroenendael@science.ru.nl;perennials;Braun, A.(1864): Flora der province brandenburg []
Anarrhinum bellidifolium;33247;perennials;Perennials;;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: J.vangroenendael@science.ru.nl;perennials;Polunin, O.(1969): Flowers of Europe []
Veronica austriaca s. teucrium;33306;perennials;Perennials;;BIOPOP April 2005;perennials;J‰ger, E.J. (2002): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Kritischer Band
Pedicularis foliosa;33474;perennials;Perennials;;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: J.vangroenendael@science.ru.nl;perennials;Tutin, T.G.(1964): Flora Europaea []
Veronica montana;33758;perennials;Perennials;;BIOPOP April 2005;perennials;J‰ger, E.J. (2002): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Kritischer Band
Veronica officinalis;33764;perennials;Perennials;;BIOPOP April 2005;perennials;Harris, G. R. (1980): Adventitious root formation in Veronica spp.
Veronica officinalis;33764;perennials;Perennials;;BIOPOP April 2005;perennials;J‰ger, E.J. (2002): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Kritischer Band
Veronica filiformis;33807;perennials;Perennials;;BIOPOP April 2005;perennials;Harris, G. R. (1980): Adventitious root formation in Veronica spp.
Veronica filiformis;33807;perennials;Perennials;;BIOPOP April 2005;perennials;J‰ger, E.J. (2002): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Kritischer Band
Linaria genistifolia s. dalmatica;33847;perennials;Perennials;;BIOPOP April 2005;perennials;Baskin, C. C. (1998): Seeds - Ecology, biogeography and evolution of dormancy and germination []
Veronica beccabunga;33863;perennials;Perennials;;BIOPOP April 2005;perennials;Harris, G. R. (1980): Adventitious root formation in Veronica spp.
Veronica beccabunga;33863;perennials;Perennials;;BIOPOP April 2005;perennials;J‰ger, E.J. (2002): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Kritischer Band
Hieracium amplexicaule;33881;perennials;Perennials;;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: J.vangroenendael@science.ru.nl;perennials;Tutin, T.G.(1964): Flora Europaea []
Erinus alpinus;33899;perennials;Perennials;;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: J.vangroenendael@science.ru.nl;perennials;Fitschen, J.(1993): Flora von Deutschland und angrenzender L‰nder. []
Digitalis ferruginea;34167;perennials;Perennials;;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: J.vangroenendael@science.ru.nl;perennials;Polunin, O.(1969): Flowers of Europe []
Pedicularis sceptrum-carolinum;34226;perennials;Perennials;;BIOPOP April 2005;perennials;J‰ger, E.J. (2002): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Kritischer Band
Pedicularis sceptrum-carolinum;34226;perennials;Perennials;;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: J.vangroenendael@science.ru.nl;perennials;Tutin, T.G.(1964): Flora Europaea []
Veronica scutellata;34347;perennials;Perennials;;BIOPOP April 2005;perennials;J‰ger, E.J. (2002): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Kritischer Band
Scrophularia umbrosa;34372;perennials;Perennials;;BIOPOP April 2005;perennials;Cooper, M. R. (1984): Poisonous plants in Britain and their effects on animals and man
Pedicularis elongata;34389;perennials;Perennials;;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: J.vangroenendael@science.ru.nl;perennials;Tutin, T.G.(1964): Flora Europaea []
Bartsia alpina;34451;perennials;Perennials;;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: J.vangroenendael@science.ru.nl;perennials;Fitschen, J.(1993): Flora von Deutschland und angrenzender L‰nder. []
Parthenocissus inserta;34510;perennials;Perennials;;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: J.vangroenendael@science.ru.nl;perennials;Tutin, T.G.(1964): Flora Europaea []
Parthenocissus quinquefolia;34514;perennials;Perennials;;BIOPOP April 2005;perennials;J‰ger, E.J. (2002): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Kritischer Band
Parthenocissus quinquefolia;34514;perennials;Perennials;;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: J.vangroenendael@science.ru.nl;perennials;Tutin, T.G.(1964): Flora Europaea []
Parthenocissus tricuspidata;34516;perennials;Perennials;;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: J.vangroenendael@science.ru.nl;perennials;Tutin, T.G.(1964): Flora Europaea []
Daphne laureola;34606;perennials;Perennials;;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: J.vangroenendael@science.ru.nl;perennials;Polunin, O.(1969): Flowers of Europe []
Daphne mezereum;34610;perennials;Perennials;;BIOPOP April 2005;perennials;J‰ger, E.J. (2002): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Kritischer Band
Daphne cneorum;34621;perennials;Perennials;;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: J.vangroenendael@science.ru.nl;perennials;Polunin, O.(1969): Flowers of Europe []
Tilia platyphyllos;34634;perennials;Perennials;;BIOPOP April 2005;perennials;J‰ger, E.J. (2002): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Kritischer Band
Tilia cordata;34664;perennials;Perennials;;BIOPOP April 2005;perennials;J‰ger, E.J. (2002): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Kritischer Band
Valeriana pratensis;34760;perennials;Perennials;;BIOPOP April 2005;perennials;J‰ger, E.J. (2002): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Kritischer Band
Valeriana repens;34799;perennials;Perennials;;BIOPOP April 2005;perennials;J‰ger, E.J. (2002): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Kritischer Band
Valeriana officinalis;34832;perennials;Perennials;;BIOPOP April 2005;perennials;J‰ger, E.J. (2002): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Kritischer Band
Valeriana officinalis s. collina;34846;perennials;Perennials;;BIOPOP April 2005;perennials;Haeupler, H. (2000): Bildatlas der Farn- und Bl¸tenpflanzen Deutschlands
Valeriana dioica;34884;perennials;Perennials;;BIOPOP April 2005;perennials;Hegi, G. B. (1906): Illustrierte Flora von Mitteleuropa
Valeriana dioica;34884;perennials;Perennials;;BIOPOP April 2005;perennials;Jensen, K. (2004): Dormancy patterns, germination ecology, and seed-bank types of twenty temperate fen grassland species. [24(1)]
Physalis peruviana;34978;perennials;Perennials;;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: J.vangroenendael@science.ru.nl;perennials;Tutin, T.G.(1964): Flora Europaea []
Solanum dulcamara;35041;perennials;Perennials;;BIOPOP April 2005;perennials;Liebenow, H. (1981): Giftpflanzen
Solanum dulcamara;35041;perennials;Perennials;;BIOPOP April 2005;perennials;Cooper, M. R. (1984): Poisonous plants in Britain and their effects on animals and man
Solanum dulcamara;35041;perennials;Perennials;;BIOPOP April 2005;perennials;Baskin, C. C. (1998): Seeds - Ecology, biogeography and evolution of dormancy and germination []
Nicotiana alata;35067;perennials;Perennials;;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: J.vangroenendael@science.ru.nl;perennials;Tutin, T.G.(1964): Flora Europaea []
Physalis alkekengi;35072;perennials;Perennials;;BIOPOP April 2005;perennials;Wehsarg, O. (1954): Ackerunkr‰uter. Biologie. Allgemeine Bek‰mpfung und Einzelbek‰mpfung []
Atropa bella-donna;35087;perennials;Perennials;;BIOPOP April 2005;perennials;Liebenow, H. (1981): Giftpflanzen
Atropa bella-donna;35087;perennials;Perennials;;BIOPOP April 2005;perennials;Cooper, M. R. (1984): Poisonous plants in Britain and their effects on animals and man
Atropa bella-donna;35087;perennials;Perennials;;BIOPOP April 2005;perennials;Baskin, C. C. (1998): Seeds - Ecology, biogeography and evolution of dormancy and germination []
Atropa bella-donna;35087;perennials;Perennials;;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: J.vangroenendael@science.ru.nl;perennials;Polunin, O.(1969): Flowers of Europe []
Verbena officinalis;35092;perennials;Perennials;;BIOPOP April 2005;perennials;Baskin, C. C. (1998): Seeds - Ecology, biogeography and evolution of dormancy and germination []
Verbena officinalis;35092;perennials;Perennials;;Woodward, F.Il(1997): Life at the edge: a 14-year study of a Verbena officinalis population's interactions with climate [85];perennials;Woodward, F.Il(1997): Life at the edge: a 14-year study of a Verbena officinalis population's interactions with climate [85]
Urtica dioica;35149;perennials;Perennials;;BIOPOP April 2005;perennials;Liebenow, H. (1981): Giftpflanzen
Urtica dioica;35149;perennials;Perennials;;BIOPOP April 2005;perennials;Hegi, G. B. (1906): Illustrierte Flora von Mitteleuropa
Urtica dioica;35149;perennials;Perennials;;BIOPOP April 2005;perennials;Rebele, F. (1992): Colonization and early succession on anthropogenic soils.
Urtica dioica;35149;perennials;Perennials;;BIOPOP April 2005;perennials;Greig-Smith, P. (1948): Biological flora of the British Isles: Urtica dioica L.
Urtica dioica;35149;perennials;Perennials;;BIOPOP April 2005;perennials;Baskin, C. C. (1998): Seeds - Ecology, biogeography and evolution of dormancy and germination []
Celtis australis;35171;perennials;Perennials;;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: J.vangroenendael@science.ru.nl;perennials;Polunin, O.(1969): Flowers of Europe []
Ulmus glabra;35180;perennials;Perennials;;BIOPOP April 2005;perennials;J‰ger, E.J. (2002): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Kritischer Band
Viola reichenbachiana;35262;perennials;Perennials;;BIOPOP April 2005;perennials;J‰ger, E.J. (2002): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Kritischer Band
Viola riviniana;35267;perennials;Perennials;;BIOPOP April 2005;perennials;Baskin, C. C. (1998): Seeds - Ecology, biogeography and evolution of dormancy and germination []
Viola palustris;35276;perennials;Perennials;;BIOPOP April 2005;perennials;J‰ger, E.J. (2002): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Kritischer Band
Viola palustris;35276;perennials;Perennials;;BIOPOP April 2005;perennials;Jensen, K. (2004): Dormancy patterns, germination ecology, and seed-bank types of twenty temperate fen grassland species. [24(1)]
Viola odorata;35309;perennials;Perennials;;BIOPOP April 2005;perennials;J‰ger, E.J. (2002): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Kritischer Band
Viola hirta;35355;perennials;Perennials;;BIOPOP April 2005;perennials;J‰ger, E.J. (2002): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Kritischer Band
Galanthus elwesii;35516;perennials;Perennials;;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: J.vangroenendael@science.ru.nl;perennials;Tutin, T.G.(1964): Flora Europaea []
Leucojum aestivum;35586;perennials;Perennials;;BIOPOP April 2005;perennials;J‰ger, E.J. (2002): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Kritischer Band
Baldellia ranunculoides;35614;perennials;Perennials;;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: J.vangroenendael@science.ru.nl;perennials;Fitschen, J.(1993): Flora von Deutschland und angrenzender L‰nder. []
Alisma lanceolatum;35630;perennials;Perennials;;BIOPOP April 2005;perennials;J‰ger, E.J. (2002): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Kritischer Band
Galanthus nivalis;35672;perennials;Perennials;;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: J.vangroenendael@science.ru.nl;perennials;Fitschen, J.(1993): Flora von Deutschland und angrenzender L‰nder. []
Narcissus poeticus;35706;perennials;Perennials;;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: J.vangroenendael@science.ru.nl;perennials;Fitschen, J.(1993): Flora von Deutschland und angrenzender L‰nder. []
Narcissus pseudonarcissus;35717;perennials;Perennials;;BIOPOP April 2005;perennials;Liebenow, H. (1981): Giftpflanzen
Narcissus pseudonarcissus;35717;perennials;Perennials;;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: J.vangroenendael@science.ru.nl;perennials;Fitschen, J.(1993): Flora von Deutschland und angrenzender L‰nder. []
Leucojum vernum;35768;perennials;Perennials;;BIOPOP April 2005;perennials;Liebenow, H. (1981): Giftpflanzen
Arum maculatum;35847;perennials;Perennials;;BIOPOP April 2005;perennials;Baskin, C. C. (1998): Seeds - Ecology, biogeography and evolution of dormancy and germination []
Calla palustris;35879;perennials;Perennials;;BIOPOP April 2005;perennials;Liebenow, H. (1981): Giftpflanzen
Juncus castaneus;35925;perennials;Perennials;;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: J.vangroenendael@science.ru.nl;perennials;Tutin, T.G.(1964): Flora Europaea []
Juncus atratus;35939;perennials;Perennials;;BIOPOP April 2005;perennials;J‰ger, E.J. (2002): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Kritischer Band
Juncus atratus;35939;perennials;Perennials;;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: J.vangroenendael@science.ru.nl;perennials;Tutin, T.G.(1964): Flora Europaea []
Juncus balticus;35943;perennials;Perennials;;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: J.vangroenendael@science.ru.nl;perennials;Tutin, T.G.(1964): Flora Europaea []
Juncus arcticus;35944;perennials;Perennials;;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: J.vangroenendael@science.ru.nl;perennials;Tutin, T.G.(1964): Flora Europaea []
Juncus articulatus;35965;perennials;Perennials;;BIOPOP April 2005;perennials;Hegi, G. B. (1906): Illustrierte Flora von Mitteleuropa
Juncus articulatus;35965;perennials;Perennials;;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: J.vangroenendael@science.ru.nl;perennials;Tutin, T.G.(1964): Flora Europaea []
Juncus acutiflorus;35974;perennials;Perennials;;BIOPOP April 2005;perennials;Hegi, G. B. (1906): Illustrierte Flora von Mitteleuropa
Juncus acutiflorus;35974;perennials;Perennials;;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: J.vangroenendael@science.ru.nl;perennials;Tutin, T.G.(1964): Flora Europaea []
Juncus compressus;36003;perennials;Perennials;;BIOPOP April 2005;perennials;J‰ger, E.J. (2002): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Kritischer Band
Juncus compressus;36003;perennials;Perennials;;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: J.vangroenendael@science.ru.nl;perennials;Tutin, T.G.(1964): Flora Europaea []
Juncus conglomeratus;36007;perennials;Perennials;;BIOPOP April 2005;perennials;Hegi, G. B. (1906): Illustrierte Flora von Mitteleuropa
Juncus conglomeratus;36007;perennials;Perennials;;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: J.vangroenendael@science.ru.nl;perennials;Tutin, T.G.(1964): Flora Europaea []
Juncus effusus;36014;perennials;Perennials;;BIOPOP April 2005;perennials;Hegi, G. B. (1906): Illustrierte Flora von Mitteleuropa
Juncus effusus;36014;perennials;Perennials;;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: J.vangroenendael@science.ru.nl;perennials;Tutin, T.G.(1964): Flora Europaea []
Juncus filiformis;36023;perennials;Perennials;;BIOPOP April 2005;perennials;J‰ger, E.J. (2002): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Kritischer Band
Juncus filiformis;36023;perennials;Perennials;;BIOPOP April 2005;perennials;Jensen, K. (2004): Dormancy patterns, germination ecology, and seed-bank types of twenty temperate fen grassland species. [24(1)]
Juncus filiformis;36023;perennials;Perennials;;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: J.vangroenendael@science.ru.nl;perennials;Tutin, T.G.(1964): Flora Europaea []
Juncus inflexus;36061;perennials;Perennials;;BIOPOP April 2005;perennials;J‰ger, E.J. (2002): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Kritischer Band
Juncus inflexus;36061;perennials;Perennials;;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: J.vangroenendael@science.ru.nl;perennials;Tutin, T.G.(1964): Flora Europaea []
Juncus gerardi;36081;perennials;Perennials;;BIOPOP April 2005;perennials;J‰ger, E.J. (2002): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Kritischer Band
Juncus gerardi;36081;perennials;Perennials;;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: J.vangroenendael@science.ru.nl;perennials;Tutin, T.G.(1964): Flora Europaea []
Juncus tenuis;36112;perennials;Perennials;;BIOPOP April 2005;perennials;J‰ger, E.J. (2002): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Kritischer Band
Juncus sphaerocarpus;36141;perennials;Perennials;;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: J.vangroenendael@science.ru.nl;perennials;Tutin, T.G.(1964): Flora Europaea []
Juncus squarrosus;36142;perennials;Perennials;;BIOPOP April 2005;perennials;J‰ger, E.J. (2002): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Kritischer Band
Juncus stygius;36147;perennials;Perennials;;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: J.vangroenendael@science.ru.nl;perennials;Tutin, T.G.(1964): Flora Europaea []
Juncus subnodulosus;36148;perennials;Perennials;;BIOPOP April 2005;perennials;J‰ger, E.J. (2002): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Kritischer Band
Juncus subnodulosus;36148;perennials;Perennials;;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: J.vangroenendael@science.ru.nl;perennials;Tutin, T.G.(1964): Flora Europaea []
Juncus maritimus;36160;perennials;Perennials;;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: J.vangroenendael@science.ru.nl;perennials;Tutin, T.G.(1964): Flora Europaea []
Juncus minutulus;36164;perennials;Perennials;;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: J.vangroenendael@science.ru.nl;perennials;Tutin, T.G.(1964): Flora Europaea []
Juncus trifidus s. monanthos;36211;perennials;Perennials;;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: J.vangroenendael@science.ru.nl;perennials;Tutin, T.G.(1964): Flora Europaea []
Luzula multiflora;36245;perennials;Perennials;;BIOPOP April 2005;perennials;J‰ger, E.J. (2002): Rothmaler Exkursionsflora von Deutschland. Gef‰ﬂpflanzen: Kritischer Band
Luzula luzuloides;36273;perennials;Perennials;;BIOPOP April 2005;perennials;Hegi, G. B. (1906): Illustrierte Flora von Mitteleuropa
Luzula campestris;36280;perennials;Perennials;;BIOPOP April 2005;perennials;Hegi, G. B. (1906): Illustrierte Flora von Mitteleuropa
Luzula sylvatica;36284;perennials;Perennials;;BIOPOP April 2005;perennials;Baskin, C. C. (1998): Seeds - Ecology, biogeography and evolution of dormancy and germination []
Hydrilla verticillata;36294;perennials;Perennials;;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: J.vangroenendael@science.ru.nl;perennials;Fitschen, J.(1993): Flora von Deutschland und angrenzender L‰nder. []
Hydrocharis morsus-ranae;36302;perennials;Perennials;;Source data from Radboud University, Aquatic Ecology and Environmental Biology, NL, (Van Groenendael), E-Mail: J.vangroenendael@science.ru.nl;perennials;Tutin, T.G.(1964): Flora Europaea []
Triglochin maritima;36323;perennials;Perennials;;BIOPOP April 2005;perennials;Liebenow, H. (1981): Giftpflanzen
Triglochin palustris;36324;perennials;Perennials;;BIOPOP April 2005;perennials;Liebenow, H. (1981): Giftpflanzen
Triglochin palustris;36324;perennials;Perennials;;BIOPOP April 2005;perennials;Jensen, K. (2004): Dormancy patterns, germination ecology, and seed-bank types of twenty temperate fen grassland species. [24(1)]
